90,0,1.06483
86.4,0,1.23966
82.8,0,1.09368
79.2,0,1.38097
75.6,0,1.53502
72,0,1.86982
68.4,0,2.1206
64.8,0,2.37661
61.2,0,2.9725
57.6,0,3.4734
54,0,15.7684
50.4,0,56.8953
46.8,0,79.0327
43.2,0,82.906
39.6,0,81.1266
36,0,58.4059
32.4,0,22.5663
28.8,0,3.80245
25.2,0,2.99633
21.6,0,2.26211
18,0,2.11899
14.4,0,1.86869
10.8,0,1.64412
7.2,0,1.35536
3.6,0,1.26936
0,0,1.20702
-3.6,0,1.01466
-7.2,0,0.947901
-10.8,0,0.922043
-14.4,0,0.811911
-18,0,0.768734
-21.6,0,0.729921
-25.2,0,0.756102
-28.8,0,0.679079
-32.4,0,0.59931
-36,0,0.661813
-39.6,0,0.633796
-43.2,0,0.597549
-46.8,0,0.54368
-50.4,0,0.563033
-54,0,0.593697
-57.6,0,0.599404
-61.2,0,0.601495
-64.8,0,0.578648
-68.4,0,0.547416
-72,0,0.669878
-75.6,0,0.679258
86.25,1.33226,0.962351
82.65,1.33226,1.0376
79.05,1.33226,1.26322
75.45,1.33226,1.42482
71.85,1.33226,1.49628
68.25,1.33226,1.77377
64.65,1.33226,1.97648
61.05,1.33226,2.28972
57.45,1.33226,2.60201
53.85,1.33226,3.10111
50.25,1.33226,4.11028
46.65,1.33226,37.087
43.05,1.33226,70.266
39.45,1.33226,83.1429
35.85,1.33226,83.773
32.25,1.33226,78.1206
28.65,1.33226,42.9809
25.05,1.33226,8.84945
21.45,1.33226,3.42528
17.85,1.33226,2.66039
14.25,1.33226,2.30312
10.65,1.33226,1.89221
7.05,1.33226,1.72442
3.45,1.33226,1.38611
-0.15,1.33226,1.35888
-3.75,1.33226,1.32012
-7.35,1.33226,1.08813
-10.95,1.33226,0.995463
-14.55,1.33226,0.834789
-18.15,1.33226,0.753384
-21.75,1.33226,0.759319
-25.35,1.33226,0.792562
-28.95,1.33226,0.761422
-32.55,1.33226,0.687403
-36.15,1.33226,0.750019
-39.75,1.33226,0.630354
-43.35,1.33226,0.691148
-46.95,1.33226,0.605829
-50.55,1.33226,0.623393
-54.15,1.33226,0.696271
-57.75,1.33226,0.610908
-61.35,1.33226,0.700467
-64.95,1.33226,0.714048
-68.55,1.33226,0.668632
-72.15,1.33226,0.701495
-75.75,1.33226,0.691379
-79.35,1.33226,0.765168
-82.95,1.33226,0.902059
-86.55,1.33226,0.843001
89.85,-1.33226,0.90042
86.25,-1.33226,1.0255
82.65,-1.33226,1.09079
79.05,-1.33226,1.22371
75.45,-1.33226,1.21028
71.85,-1.33226,1.43368
68.25,-1.33226,1.44039
64.65,-1.33226,1.81748
61.05,-1.33226,2.09906
57.45,-1.33226,2.55524
53.85,-1.33226,14.3392
50.25,-1.33226,52.0128
46.65,-1.33226,77.8062
43.05,-1.33226,80.9591
39.45,-1.33226,77.9369
35.85,-1.33226,62.518
